,Title,additional_info,Price
0,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
1,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
2,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
3,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
4,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
5,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
6,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
7,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
8,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
9,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
10,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
11,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
12,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
13,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
14,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
15,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
16,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
17,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
18,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
19,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
20,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
21,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
22,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
23,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
24,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
25,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
26,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
27,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
28,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
29,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
30,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
31,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
32,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
33,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
34,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
35,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
36,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
37,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
38,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
39,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
40,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
41,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
42,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
43,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
44,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
45,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
46,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
47,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
48,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
49,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
50,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
51,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
52,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
53,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
54,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
55,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
56,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
57,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
58,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
59,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
60,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
61,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
62,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
63,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
64,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
65,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
66,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
67,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
68,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
69,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
70,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
71,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
72,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
73,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
74,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
75,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
76,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
77,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
78,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
79,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
80,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
81,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
82,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
83,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
84,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
85,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
86,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
87,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
88,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
89,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
90,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
91,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
92,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
93,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
94,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
95,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
96,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
97,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
98,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
99,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
100,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
101,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
102,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
103,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
104,Alegoria Gran Reserva Cabernet Sauvignon Agrelo,"Aromas of: plum, currant and roasted red pepper.…","3,895"
105,Alegoria Gran Reserva Malbec Agrelo,"An: intense red color, with: blue reflections. Plum,…","3,895"
106,Alto Rouge,"Since 1922, when it was first produced on…","2,895"
107,Anakena Birdman Cabernet Sauvignon,A rich plate packed with juicy fruit and…,"1,495"
108,Anakena Birdman Merlot,A fruit-driven wine bursting with raspberry aromas and…,"1,495"
109,B&G Beaujolais Villages,"Elegant, with fresh fig and ripe red berry…","2,695"
110,B&G Côtes du Rhône,Intense nose of: flowers (violet) and black fruits…,"2,395"
111,B&G Cuvée Specialé Nature Sweet Rouge,"A blend of: Grenache, Carignan, Cinsault (from France),…","1,595"
